Country (Name),Country (ISO3 code),ASFIS species (Name),ASFIS species (3-alpha code),FAO major fishing area (Name),FAO major fishing area (Code),[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Australia,AUS,Albacore,ALB,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,404,,13,,28,,4,,0,,1,,0,,30,,0,0,97,,49,,103,,127,,27,,4,,23,,26,,31,,28,,137,,72,,112,,32,,12,,8,,11,,10,,20,,18.66,,7.46,,14.89,,14.74,,16.64,,19.28,,30.15,,18.76,,11.9,,15.58,
Australia,AUS,Bigeye tuna,BET,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,28,,1,,2,,3,,14,,0,,19,,0,0,3,,125,,475,,146,,84,,25,,57,,187,,476,,437,,386,,419,,206,,91,,31,,59,,69,,45,,62,,65.27,,50.05,,167.45,,90.7,,75.37,,94.37,,69.94,,59.33,,46.34,,35.52,
Australia,AUS,Black marlin,BLM,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Australia,AUS,Blue marlin,BUM,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,12,,0,0,0,0,0,0,1,,33,,4,,0,0,2,,0,,0,,0,,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Australia,AUS,Indo-Pacific sailfish,SFA,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,1,,0,,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Australia,AUS,Kawakawa,KAW,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,,0,,0,,0,,0,0,1,,1,,1,,0,0,0,0,0,0,0,0,0,,0.08,,0,...,0.04,,0.07,,0.02,,0.01,,0,...,1,,0.5,,0,...
Australia,AUS,Longtail tuna,LOT,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,0,0,0,18,,11,,3,,2,,10,,19,,5,,5,,0,,9,,131,,138,,135,,16,,40,,19,,52,,14,,13,,0,0,2,,1,,0,0,0,0,0,0,31,,8,,58,,23,,28,,17,,19,,4,,0,0,1,,1,,0.4,,13.85,,13.81,,4.56,,5.8,,7.75,,9.28,,13.3,,17.49,,11.54,
Australia,AUS,Narrow-barred Spanish mackerel,COM,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,216,,211,,387,,325,,445,,513,,444,,471,,622,,540,,336,,307,,490,,468,,491,,432,,312,,261,,325,,323,,284,,283.69,,284.36,,318.17,,270.58,,322.07,,301.71,,275.9,,283.5,,213.45,,291.87,
Australia,AUS,Seerfishes nei,KGX,"Indian Ocean, Eastern",57,100,,100,,100,,200,,100,,0,0,100,,100,,100,,200,,0,0,0,0,0,0,100,,100,,100,,100,,100,,100,,100,,100,,100,,0,0,100,,85,,69,,110,,90,,127,,146,,139,,151,,248,,231,,256,,300,,300,,230,,310,,110,,131,,152,,117,,111,,126,,89,,131,,171,,0,,0,,22,,55,,3,,0,0,6,,508,,1897,,0,...,0,...,0,...,972,,400,,0,0,1,,0,0,0,0,0,,0,,0,,0,...
Australia,AUS,Skipjack tuna,SKJ,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,0,0,0,100,,0,0,133,,523,,404,,68,,49,,58,,37,,44,,307,,67,,10,,136,,635,,947,,81,,12,,639,,761,,334,,29,,1204,,466,,212,,905,,2247,,4986,,2995,,1040,,1145,,2,,30,,3,,446,,90,,892,,855,,0.01,,0.08,,0.79,,0.59,,0.06,,0.62,,1.05,,1.61,,1.15,,0.28,
Australia,AUS,Southern bluefin tuna,SBF,"Indian Ocean, Eastern",57,0,0,0,0,264,,509,,424,,322,,964,,1264,,1652,,2000,,2750,,2800,,3700,,5000,,5100,,4600,,6050,,3900,,4100,,3600,,2050,,3200,,6000,,5500,,10500,,5050,,6820,,12000,,7180,,6490,,8180,,13220,,19630,,16340,,12862,,12019,,11951,,10271,,10041,,5678,,4166,,4089,,2184,,2152,,2499,,3362,,4894,,4911,,4353,,5448,,4629,,5463,,4929,,5618,,5180,,5332,,5852,,4822,,4431,,4884,,4039.04,,4115.32,,4444.41,,4561.37,,4189.43,,5256.21,,5381.22,,4698.11,,5374.23,,5410.19,
Australia,AUS,Striped marlin,MLS,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,42,,0,0,1,,0,0,3,,9,,7,,3,,17,,12,,62,,3,,0,,1,,0,0,0,0,4,,6,,4,,2,,0,0,0.46,,0.66,,2.48,,2.03,,0.59,,1.51,,0.89,,1.49,,0.55,,0.79,
Australia,AUS,Swordfish,SWO,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,37,,0,0,3,,32,,189,,115,,62,,22,,43,,337,,1360,,1798,,2900,,1344,,1766,,370,,301,,335,,301,,142,,349,,349.42,,189.92,,209.27,,203.53,,211.57,,200.64,,133.76,,155.84,,161.24,,112.78,
Australia,AUS,Tuna-like fishes nei,TUX,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,0,0,0,0,0,0,0,4,,4,,16,,21,,8,,9,,1,,1,,4,,1,,1,,20,,20,,15,,0,,101,,0,0,7,,36,,19,,40,,24,,16,,9,,116,,34,,8,,12,,83,,15,,0,0,3,,1,,2,,0,,2,,1.92,,0.68,,0.89,,0.39,,0.38,,0.39,,0,...,0,...,1.66,,1,
Australia,AUS,Yellowfin tuna,YFT,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,0,0,0,0,0,0,0,0,0,0,0,3,,15,,28,,34,,20,,8,,18,,41,,43,,42,,40,,12,,216,,80,,23,,14,,91,,647,,263,,107,,305,,275,,478,,439,,572,,362,,196,,154,,37,,46,,33,,17,,13,,22.48,,15.29,,24.13,,40.8,,19.39,,73.04,,66.7,,66.19,,38.55,,45.35,
Bahrain,BHR,Kawakawa,KAW,"Indian Ocean, Western",51,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,28,,3,,10,,3,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bahrain,BHR,Narrow-barred Spanish mackerel,COM,"Indian Ocean, Western",51,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,90,E,90,E,90,E,90,E,100,E,100,E,100,,118,,98,,85,,81,,200,,198,,191,,221,,141,,290,,294,,189,,241,,92,,131,,114,,77,,69,,109,,158,,47,,85,,44,,66,,109,,121,,130,,170,,80,,77,,54,,169,,84,,45,,25,,161,E,110,E,77,E,73,E,73,E,73,E,73,E,73,E
Bahrain,BHR,Tuna-like fishes nei,TUX,"Indian Ocean, Western",51,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,6,E,2,E,5,E,5,E,5,E,5,E,5,E,5,E
Bangladesh,BGD,Seerfishes nei,KGX,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,95,,67,,16,,60,,60,,60,,40,,30,,40,,50,,50,,40,,50,,60,,60,,60,,500,E,1000,E,1500,E,1932,,1143,,2738,,2316,,1559,,1548,,2350,,2539,,3038,,3578,,3903,,4093,,4436,,3974,,4075,,4253,
Belize,BLZ,Albacore,ALB,"Indian Ocean, Eastern",57,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,82,,34,,78,,47,,278,,0,,12,,9,,0,,0,,16,,0,,0,,0,,0,,0,,0,,0,,0,
