"ISSCAAP","SPECIES_CODE","SPECIES","SPECIES_SCIENTIFIC","IS_SPECIES_AGGREGATE","TSN","SUBORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","SPECIES_CATEGORY_CODE","SPECIES_CATEGORY"
36,"BON","Atlantic bonito","Sarda sarda",FALSE,172409,"Scombroidei","Scombridae","Scombrinae","Sardini","Sarda","BONITOS","Bonito species"
36,"BIP","Striped bonito","Sarda orientalis",FALSE,172410,"Scombroidei","Scombridae","Scombrinae","Sardini","Sarda","BONITOS","Bonito species"
36,"BEP","Eastern Pacific bonito","Sarda chiliensis",FALSE,172408,"Scombroidei","Scombridae","Scombrinae","Sardini","Sarda","BONITOS","Bonito species"
36,"BAU","Australian bonito","Sarda australis",FALSE,202018,"Scombroidei","Scombridae","Scombrinae","Sardini","Sarda","BONITOS","Bonito species"
36,"BZX","Bonitos nei","Sarda spp",TRUE,172407,"Scombroidei","Scombridae","Scombrinae","Sardini",NA,"BONITOS","Bonito species"
36,"BOP","Plain bonito","Orcynopsis unicolor",FALSE,172467,"Scombroidei","Scombridae","Scombrinae","Sardini","Orcynopsis","BONITOS","Bonito species"
36,"WAH","Wahoo","Acanthocybium solandri",FALSE,172451,"Scombroidei","Scombridae","Scombrinae","Scomberomorini","Acanthocybium","SEERFISH","Seerfish species"
36,"DOT","Dogtooth tuna","Gymnosarda unicolor",FALSE,172469,"Scombroidei","Scombridae","Scombrinae","Sardini","Gymnosarda","BONITOS","Bonito species"
36,"CHY","Chinese seerfish","Scomberomorus sinensis",FALSE,172449,"Scombroidei","Scombridae","Scombrinae","Scomberomorini","Scomberomorus","SEERFISH","Seerfish species"
36,"COM","Narrow-barred Spanish mackerel","Scomberomorus commerson",FALSE,172441,"Scombroidei","Scombridae","Scombrinae","Scomberomorini","Scomberomorus","SEERFISH","Seerfish species"
36,"GUT","Indo-Pacific king mackerel","Scomberomorus guttatus",FALSE,172442,"Scombroidei","Scombridae","Scombrinae","Scomberomorini","Scomberomorus","SEERFISH","Seerfish species"
36,"STS","Streaked seerfish","Scomberomorus lineolatus",FALSE,172445,"Scombroidei","Scombridae","Scombrinae","Scomberomorini","Scomberomorus","SEERFISH","Seerfish species"
